,code,text,label
6402,43685-7,Tolerance: Excessive use may lead to tolerance (5.1).,0
7011,43685-7,"Reevaluate if insomnia persists after 7 to 10 days of use (5.1)Severe anaphylactic and anaphylactoid reactions have been reported (5.2)Abnormal thinking, behavior changes and complex behaviors such as sleep-driving have been reported (5.3)Pediatric patients with attention-deficit/hyperactivity disorder (ADHD): Hallucinations (7.4%) and other psychiatric and/or nervous system adverse events were observed frequently (5.6, 8.4)Depression: Worsening of depression or, suicidal thinking may occur.",0
7012,43685-7,"Prescribe the least amount feasible to avoid intentional overdose (5.3, 5.6)Withdrawal symptoms may occur with rapid dose reduction or discontinuation (5.4)CNS depressant effects, additive effects with CNS depressants (2.3, 5.5)Potential impairment of activities requiring complete mental alertness such as operating machinery or driving a motor vehicle, after ingesting the drug and the following day (5.5)Additive effects with alcohol; should not be taken with alcohol (5.5)Elderly/debilitated patients: Impaired motor, cognitive performance after repeated exposure, increased sensitivity (2.2, 5.6)Caution advised in patients with hepatic impairment, mild to moderate COPD, impaired drug metabolism or hemodynamic responses, mild to moderate sleep apnea (5.6)",0
7710,43685-7,"Reevaluate if insomnia persists after 7 to 10 days of use (5.1)Severe anaphylactic and anaphylactoid reactions have been reported (5.2)Abnormal thinking, behavior changes and complex behaviors such as sleep-driving have been reported (5.3)Pediatric patients with attention-deficit/hyperactivity disorder (ADHD): Hallucinations (7.4%) and other psychiatric and /or nervous system adverse events were observed frequently (5.6, 8.4)Depression: Worsening of depression or, suicidal thinking may occur.",0
11223,43685-7,Acute exacerbation of coronary artery disease upon cessation of therapy: Do not abruptly discontinue.,0
11224,43685-7,"(5.1)Bradycardia, hypotension, worsening heart failure/fluid retention may occur.",0
11225,43685-7,Reduce the dose as needed.,0
11226,43685-7,"(5.2, 5.3, 5.4) Non-allergic bronchospasm (e.g., chronic bronchitis and emphysema): Avoid β-blockers.",0
11227,43685-7,"(4) However, if deemed necessary, use with caution and at lowest effective dose.",0
11228,43685-7,(5.5) Diabetes: Monitor glucose as β-blockers may mask symptoms of hypoglycemia or worsen hyperglycemia.,0
11229,43685-7,(5.6),0
